data, N, iteration ,algo1_answer, algo1_time, algo2_answer, algo2_time, algo3_answer, algo3_time, algo4_answer, algo4_time
random, 1000, 0, 1081497297, 0.483, 0, 0.000, 1081497297, 0.750, 1081497297, 0.273
random, 1000, 1, 1072780297, 0.449, 0, 0.001, 1072780297, 0.435, 1072780297, 0.176
random, 1000, 2, 1159418888, 0.286, 0, 0.001, 1159418888, 0.194, 1159418888, 0.195
random, 1000, 3, 1122926187, 0.301, 0, 0.001, 1122926187, 0.101, 1122926187, 0.094
random, 1000, 4, 1072183625, 0.312, 0, 0.001, 1072183625, 0.145, 1072183625, 0.171
random, 1000, 5, 1019125145, 0.244, 0, 0.001, 1019125145, 0.115, 1019125145, 0.096
random, 1000, 6, 1110079063, 0.172, 0, 0.001, 1110079063, 0.137, 1110079063, 0.129
random, 1000, 7, 1070350870, 0.337, 0, 0.009, 1070350870, 0.284, 1070350870, 0.099
random, 1000, 8, 1038715667, 0.214, 0, 0.001, 1038715667, 0.140, 1038715667, 0.152
random, 1000, 9, 1102547429, 0.304, 0, 0.001, 1102547429, 0.695, 1102547429, 0.367
sorted, 1000, 0, 501, 0.212, 0, 0.001, NA, NA, 501, 0.631
sorted, 1000, 1, 501, 0.169, 0, 0.000, NA, NA, 501, 0.100
sorted, 1000, 2, 501, 0.178, 0, 0.001, NA, NA, 501, 0.206
sorted, 1000, 3, 501, 0.783, 0, 0.000, NA, NA, 501, 0.102
sorted, 1000, 4, 501, 0.346, 0, 0.001, NA, NA, 501, 0.787
sorted, 1000, 5, 501, 0.308, 0, 0.000, NA, NA, 501, 0.118
sorted, 1000, 6, 501, 0.672, 0, 0.002, NA, NA, 501, 0.380
sorted, 1000, 7, 501, 0.727, 0, 0.001, NA, NA, 501, 0.100
sorted, 1000, 8, 501, 0.827, 0, 0.001, NA, NA, 501, 0.194
sorted, 1000, 9, 501, 0.252, 0, 0.000, NA, NA, 501, 0.193
reverse_sorted, 1000, 0, 501, 0.353, 0, 0.001, NA, NA, 501, 0.211
reverse_sorted, 1000, 1, 501, 0.133, 0, 0.001, NA, NA, 501, 0.335
reverse_sorted, 1000, 2, 501, 0.108, 0, 0.000, NA, NA, 501, 0.340
reverse_sorted, 1000, 3, 501, 0.173, 0, 0.000, NA, NA, 501, 0.585
reverse_sorted, 1000, 4, 501, 0.108, 0, 0.001, NA, NA, 501, 0.124
reverse_sorted, 1000, 5, 501, 0.140, 0, 0.001, NA, NA, 501, 0.077
reverse_sorted, 1000, 6, 501, 0.213, 0, 0.003, NA, NA, 501, 0.281
reverse_sorted, 1000, 7, 501, 0.146, 0, 0.001, NA, NA, 501, 0.245
reverse_sorted, 1000, 8, 501, 0.176, 0, 0.001, NA, NA, 501, 0.187
reverse_sorted, 1000, 9, 501, 0.240, 0, 0.000, NA, NA, 501, 0.094
